Entry ID,Accession Code Combinations
1A02,"[('P05412', 'P01100'), ('P05412', 'Q13469'), ('P01100', 'Q13469')]"
1A6A,"[('P01903', 'P01911'), ('P01903', 'P04233'), ('P01911', 'P04233')]"
1AKJ,"[('P01732', 'P61769'), ('P01732', 'P04439'), ('P61769', 'P04439')]"
1AQD,"[('P01903', 'P01911'), ('P01903', 'P04439'), ('P01911', 'P04439')]"
1BX2,"[('P01903', 'P01911'), ('P01903', 'P02686'), ('P01911', 'P02686')]"
1DE4,"[('P02786', 'P61769'), ('P02786', 'Q30201'), ('P61769', 'Q30201')]"
1EFX,"[('P43627', 'P61769'), ('P43627', 'P10321'), ('P61769', 'P10321')]"
1FZA,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1FZB,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1FZC,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1FZE,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1FZF,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1FZG,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1H24,"[('P20248', 'P24941'), ('P20248', 'Q01094'), ('P24941', 'Q01094')]"
1H25,"[('P20248', 'P24941'), ('P20248', 'P06400'), ('P24941', 'P06400')]"
1H26,"[('P20248', 'P24941'), ('P20248', 'P04637'), ('P24941', 'P04637')]"
1H27,"[('P20248', 'P24941'), ('P20248', 'P46527'), ('P24941', 'P46527')]"
1H28,"[('P20248', 'P24941'), ('P20248', 'P28749'), ('P24941', 'P28749')]"
1HQR,"[('P01903', 'P02686'), ('P01903', 'Q30154'), ('P02686', 'Q30154')]"
1IM9,"[('P43626', 'P61769'), ('P43626', 'P10321'), ('P61769', 'P10321')]"
1J1D,"[('P63316', 'P19429'), ('P63316', 'P45379'), ('P19429', 'P45379')]"
1J1E,"[('P63316', 'P19429'), ('P63316', 'P45379'), ('P19429', 'P45379')]"
1JFI,"[('Q01658', 'Q14919'), ('Q01658', 'P20226'), ('Q14919', 'P20226')]"
