Entry ID,Accession Code Combinations
1A02,"[('P01100', 'P05412'), ('P01100', 'Q13469'), ('P05412', 'Q13469')]"
1A6A,"[('P01903', 'P01911'), ('P01903', 'P04233'), ('P01911', 'P04233')]"
1AKJ,"[('P61769', 'P01732'), ('P61769', 'P04439'), ('P01732', 'P04439')]"
1AQD,"[('P01903', 'P01911'), ('P01903', 'P04439'), ('P01911', 'P04439')]"
1BX2,"[('P01903', 'P01911'), ('P01903', 'P02686'), ('P01911', 'P02686')]"
1DE4,"[('P61769', 'Q30201'), ('P61769', 'P02786'), ('Q30201', 'P02786')]"
1EFX,"[('P61769', 'P43627'), ('P61769', 'P10321'), ('P43627', 'P10321')]"
1FZA,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1FZB,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1FZC,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1FZE,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1FZF,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1FZG,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1H24,"[('P24941', 'Q01094'), ('P24941', 'P20248'), ('Q01094', 'P20248')]"
1H25,"[('P24941', 'P06400'), ('P24941', 'P20248'), ('P06400', 'P20248')]"
1H26,"[('P24941', 'P04637'), ('P24941', 'P20248'), ('P04637', 'P20248')]"
1H27,"[('P24941', 'P46527'), ('P24941', 'P20248'), ('P46527', 'P20248')]"
1H28,"[('P24941', 'P28749'), ('P24941', 'P20248'), ('P28749', 'P20248')]"
1HQR,"[('P01903', 'Q30154'), ('P01903', 'P02686'), ('Q30154', 'P02686')]"
1IM9,"[('P61769', 'P43626'), ('P61769', 'P10321'), ('P43626', 'P10321')]"
1J1D,"[('P63316', 'P45379'), ('P63316', 'P19429'), ('P45379', 'P19429')]"
1J1E,"[('P63316', 'P45379'), ('P63316', 'P19429'), ('P45379', 'P19429')]"
1JFI,"[('P20226', 'Q01658'), ('P20226', 'Q14919'), ('Q01658', 'Q14919')]"
1JSU,"[('P24941', 'P46527'), ('P24941', 'P20248'), ('P46527', 'P20248')]"
1L1O,"[('P27694', 'P15927'), ('P27694', 'P35244'), ('P15927', 'P35244')]"
1LM8,"[('P40337', 'Q15370'), ('P40337', 'Q15369'), ('Q15370', 'Q15369')]"
1LQB,"[('P40337', 'Q15370'), ('P40337', 'Q15369'), ('Q15370', 'Q15369')]"
1LT9,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1LTJ,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1M63,"[('P63098', 'Q08209'), ('P63098', 'P62937'), ('Q08209', 'P62937')]"
1MF8,"[('P63098', 'Q08209'), ('P63098', 'P62937'), ('Q08209', 'P62937')]"
1N86,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1N8E,"[('P02675', 'P02679'), ('P02675', 'P02671'), ('P02679', 'P02671')]"
1NFI,"[('Q04206', 'P19838'), ('Q04206', 'P25963'), ('P19838', 'P25963')]"
1NVP,"[('P52657', 'P20226'), ('P52657', 'P52655'), ('P20226', 'P52655')]"
1OF2,"[('P61769', 'P32241'), ('P61769', 'P01889'), ('P32241', 'P01889')]"
1OGT,"[('P61769', 'P32241'), ('P61769', 'P01889'), ('P32241', 'P01889')]"
1P22,"[('P63208', 'P35222'), ('P63208', 'Q9Y297'), ('P35222', 'Q9Y297')]"
1P7Q,"[('Q8NHL6', 'P61769'), ('Q8NHL6', 'P04439'), ('P61769', 'P04439')]"
1P9M,"[('P05231', 'P08887'), ('P05231', 'P40189'), ('P08887', 'P40189')]"
1PK6,"[('P02747', 'P02745'), ('P02747', 'P02746'), ('P02745', 'P02746')]"
