Entry_ID,Source_Organism,Accession_Code
1A02,Homo sapiens,"('Q13469', 'P01100')"
1A02,Homo sapiens,"('Q13469', 'P05412')"
1A02,Homo sapiens,"('P01100', 'P05412')"
1A6A,Homo sapiens,"('P01903', 'P01911')"
1A6A,Homo sapiens,"('P01903', 'P04233')"
1A6A,Homo sapiens,"('P01911', 'P04233')"
1AKJ,Homo sapiens,"('P04439', 'P61769')"
1AKJ,Homo sapiens,"('P04439', 'P01732')"
1AKJ,Homo sapiens,"('P61769', 'P01732')"
1AQD,Homo sapiens,"('P01903', 'P01911')"
1AQD,Homo sapiens,"('P01903', 'P04439')"
1AQD,Homo sapiens,"('P01911', 'P04439')"
1B0G,Homo sapiens,"('P04439', 'P61769')"
1B0G,Homo sapiens,"('P04439', 'Q9NPA0')"
1B0G,Homo sapiens,"('P61769', 'Q9NPA0')"
1BX2,Homo sapiens,"('P01903', 'P01911')"
1BX2,Homo sapiens,"('P01903', 'P02686')"
1BX2,Homo sapiens,"('P01911', 'P02686')"
1CG9,Homo sapiens,"('P01889', 'P61769')"
1CG9,Homo sapiens,"('P01889', 'P03204')"
1CG9,Homo sapiens,"('P61769', 'P03204')"
1DE4,Homo sapiens,"('Q30201', 'P61769')"
1DE4,Homo sapiens,"('Q30201', 'P02786')"
1DE4,Homo sapiens,"('P61769', 'P02786')"
1DLH,Homo sapiens,"('P01903', 'P01911')"
1DLH,Homo sapiens,"('P01903', 'P04664')"
1DLH,Homo sapiens,"('P01911', 'P04664')"
1FAK,Homo sapiens,"('P13726', 'P08709')"
1FAK,Homo sapiens,"('P13726', 'P00974')"
1FAK,Homo sapiens,"('P08709', 'P00974')"
1FBV,Homo sapiens,"('P22681', 'P43403')"
1FBV,Homo sapiens,"('P22681', 'P68036')"
1FBV,Homo sapiens,"('P43403', 'P68036')"
1FM6,Homo sapiens,"('P19793', 'P37231')"
1FM6,Homo sapiens,"('P19793', 'Q15788')"
1FM6,Homo sapiens,"('P37231', 'Q15788')"
1FM9,Homo sapiens,"('P19793', 'P37231')"
1FM9,Homo sapiens,"('P19793', 'Q15788')"
1FM9,Homo sapiens,"('P37231', 'Q15788')"
1FV1,Homo sapiens,"('P01903', 'Q30154')"
1FV1,Homo sapiens,"('P01903', 'P02686')"
1FV1,Homo sapiens,"('Q30154', 'P02686')"
1FZA,Homo sapiens,"('P02671', 'P02675')"
1FZA,Homo sapiens,"('P02671', 'P02679')"
1FZA,Homo sapiens,"('P02675', 'P02679')"
1FZB,Homo sapiens,"('P02671', 'P02675')"
1FZB,Homo sapiens,"('P02671', 'P02679')"
1FZB,Homo sapiens,"('P02675', 'P02679')"
1FZC,Homo sapiens,"('P02671', 'P02675')"
1FZC,Homo sapiens,"('P02671', 'P02679')"
1FZC,Homo sapiens,"('P02675', 'P02679')"
1FZE,Homo sapiens,"('P02671', 'P02675')"
1FZE,Homo sapiens,"('P02671', 'P02679')"
1FZE,Homo sapiens,"('P02675', 'P02679')"
1FZF,Homo sapiens,"('P02671', 'P02675')"
1FZF,Homo sapiens,"('P02671', 'P02679')"
1FZF,Homo sapiens,"('P02675', 'P02679')"
1FZG,Homo sapiens,"('P02671', 'P02675')"
1FZG,Homo sapiens,"('P02671', 'P02679')"
1FZG,Homo sapiens,"('P02675', 'P02679')"
1H24,Homo sapiens,"('P24941', 'Q01094')"
1H24,Homo sapiens,"('P24941', 'P20248')"
1H24,Homo sapiens,"('Q01094', 'P20248')"
1H25,Homo sapiens,"('P24941', 'P20248')"
1H25,Homo sapiens,"('P24941', 'P06400')"
1H25,Homo sapiens,"('P20248', 'P06400')"
1H26,Homo sapiens,"('P24941', 'P20248')"
1H26,Homo sapiens,"('P24941', 'P04637')"
1H26,Homo sapiens,"('P20248', 'P04637')"
1H27,Homo sapiens,"('P24941', 'P20248')"
1H27,Homo sapiens,"('P24941', 'P46527')"
1H27,Homo sapiens,"('P20248', 'P46527')"
1H28,Homo sapiens,"('P24941', 'P20248')"
1H28,Homo sapiens,"('P24941', 'P28749')"
1H28,Homo sapiens,"('P20248', 'P28749')"
1HQR,Homo sapiens,"('P01903', 'Q30154')"
1HQR,Homo sapiens,"('P01903', 'P02686')"
1HQR,Homo sapiens,"('Q30154', 'P02686')"
1HXY,Homo sapiens,"('P01903', 'P01911')"
1HXY,Homo sapiens,"('P01903', 'Q03909')"
1HXY,Homo sapiens,"('P01911', 'Q03909')"
1I4F,Homo sapiens,"('P04439', 'P61769')"
1I4F,Homo sapiens,"('P04439', 'P43358')"
